CODERESP;SECURITYID;BIRTHYEARR;control1;control3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON1ACC1_05;REASON1ACC1_06;REASON1ACC1_07;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON2ACC1_04;REASON2ACC1_05;REASON2ACC1_06;REASON2ACC1_07;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON1DEN1_04;REASON1DEN1_05;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;REASON2DEN1_04;REASON2DEN1_05;IMPORTANCE1;VOTE2;VOTE2A;VOTE2B;VOTE2C;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON2ACC2_04;REASON2ACC2_05;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON1DEN2_04;REASON1DEN2_05;REASON1DEN2_06;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;REASON2DEN2_04;IMPORTANCE2;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_13;TRUST_16;TRUST_23;TRUST_29;TRUST_31;TRUST_63;LRSP;VALUE1;VALUE3;VALUE4;VALUE8;VALUE9;VALUE10;VALUE12;VALUE13;VALUE16;VALUE17;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;ZUSATZ1_1;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;ZUSATZ2_1;ZUSATZ2_2;ZUSATZ3;MEDEREI_1;MEDEREI_2;MEDEREI_3;ZUSATZ4;ZUSATZ5;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSD;CONFESSR;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2
10023;20240922.39441.242;1960;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;ging zu weit;52; ; ; ; ; ;99; ; ; ; ;7;2;99999998;2;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;9;8;6;7;2;4;8;7;8;8;8;4;5;5;8;6;6;5;2;2;2;6;1;4;1;2;6;5;1;1;2;8;1;8;2;2;8;2;1;8;1;2;1;1;3;1;1;2;98;1;98;2;1;3;0;8;6;98;0;0;0;0;0;0;98;0;0;0;2;0;0;0;0;0;7;0;98;2;2;10;1;1;1;2;99999998;99999998;32;7;3;32;10;1;1;99999998;99999998;98;1;1;,524039428141443;,472059035452546
10024;20240922.42889.242;2001;99999998;99999998; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;99;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;6;98;98;5;98;10;5;98;98;7;98;8;7;7;8;98;3;2;3;3;2;1;8;3;8;2;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;2;2;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;18;1;2;2;99999998;99999998;33;5;4;99999998;10;99999998;4;32;3;6;3;1;1,87656209985645;1,89126642742464
10031;20240922.35506.242;1959;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;2;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;5;2;99999998;2;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;8;3;5;6;1;1;6;1;1;6;1;2;2;2;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;1;1;1;98;3;1;3;0;5;0;0;0;0;5;5;5;5;5;5;5;0;5;5;5;5;5;5;5;5;5;3;1;5;1;1;1;2;99999998;99999998;32;1;99999998;12;10;1;3;99999998;99999998;98;1;2;,68647167912887;,618379345738081
10032;20240922.41915.242;1997;99999998;99999998; ;1;3;2;0;0;0;1;0;0;0;0;0;0;0;16;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;5;6;5;3;6;7;3;5;5;5;3;5;7;3;4;6;5;3;4;1;6;1;3;1;3;3;5;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;1;1;1;8;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;2;1;1;2;1;2;2;32;3;99999998;32;10;1;1;99999998;99999998;5;1;2;1,98655147356792;2,00211765365897
10037;20240922.44344.242;1974;99999998;99999998; ;2;2;2;0;0;0;0;0;0;0;1;0;0;0;9;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;8;6;6;1;98;7;7;98;98;7;4;1;98;8;8;98;3;4;5;5;2;1;5;5;5;1;5;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;98;98;98;8;1;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;7;9;1;1;2;99999998;99999998;52;3;99999998;32;10;1;8;99999998;99999998;8;1;2;2,57590275139562;2,59608695837882
10041;20240922.36867.242;1980;99999998;99999998; ;1;3;1;8;8;8;8;8;8;8;8;8;8;8;16;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Zu viele Vorschriften und noch mehr Einschränkungen;52;51; ; ; ; ;99; ; ; ; ;3;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;5;5;5;5;4;4;4;2;5;4;1;1;2;3;3;3;2;2;3;2;8;2;2;3;2;8;3;2;2;8;2;1;2;4;1;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;9;16;1;1;1;2;4;51;3;99999998;32;10;1;1;99999998;99999998;98;2;2;,530539450184459;,477914308875252
10042;20240922.43925.242;1952;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;8;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ; ; ; ;10;1;2;99999998;99999998; ;99; ; ; ; ; ; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;5;5;4;2;1;5;4;6;3;7;1;1;10;1;5;0;7;98;8;8;2;6;2;6;1;1;9;6;1;1;2;2;2;1;3;1;1;8;8;2;1;2;1;1;1;2;2;8;98;1;1;1;8;2;5;1;8;9;5;0;0;1;8;6;2;0;0;0;0;0;0;0;0;0;2;2;9;3;1;5;16;1;1;1;2;4;32;8;8;99999998;23;99999998;2;40;7;98;8;1;1,5491800260036;1,29154521656354
10043;20240922.41165.242;1968;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;2;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Hauptverantwortung soll nicht in der Landwirtschaft liegen, sondern bei jedem Grundeigentümer und da, wo Biodiversität auch Sinn macht.;20;30;13; ; ; ;99; ; ; ; ;4;2;99999998;2;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Mehrere Teilzeitjobs und unregelmässige Anstellungsbedingungen. Eigene Vorsorge getätigt.;43;53; ; ; ; ;Keine weiteren Abzüge und Vorsorgeleistungen gewünscht.;31; ; ; ;8;6;5;5;6;6;5;6;6;5;3;7;3;6;3;3;5;7;3;4;3;4;2;4;3;8;4;3;1;2;3;3;2;3;2;2;3;1;2;4;4;2;2;2;2;3;4;3;2;1;2;3;2;2;5;0;7;1;4;2;2;1;2;2;5;0;0;0;0;0;0;0;0;0;5;0;4;3;1;10;1;1;1;1;2;2;32;3;99999998;33;23;1;2;32;3;6;3;2;,658969704811566;,593605340630658
10044;20240922.43327.242;2005;99999998;99999998; ;1;2;2;0;1;0;0;0;0;0;0;0;0;0;1;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;7;8;8;5;8;7;8;8;8;4;7;9;9;7;5;9;8;3;3;5;4;1;2;1;1;3;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;1;1;1;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;3;1;1;1;2;99999998;99999998;32;3;99999998;33;10;1;1;99999998;99999998;7;1;2;3,14933797367215;3,17401549283944
10045;20240922.38166.242;1975;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;3;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Sie ist zu extrem;51;52; ; ; ; ;99; ; ; ; ;10;1;2;99999998;99999998; ;99; ; ; ; ; ; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;10;5;5;5;5;5;5;5;4;5;5;5;6;6;5;5;6;7;5;2;8;5;2;2;2;2;2;8;2;2;2;2;2;3;2;2;2;2;2;2;2;3;3;2;8;8;8;2;2;1;1;3;1;1;6;0;0;7;5;5;6;9;6;0;7;0;0;0;0;5;2;3;0;1;5;2;7;3;1;8;3;1;1;1;2;3;51;3;99999998;31;21;1;2;51;3;15;1;2;,844420057259984;,703989638013776
10049;20240922.30223.242;1968;99999998;99999998; ;2;3;1;8;8;8;8;8;8;8;8;8;8;8;17;2;99999998;4;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ;Krieg rundherum, wer weiss wann alles verbliebene Land zur Lebensmittelproduktion gebraucht wird;56;90; ; ; ;und wegen den Bauern, immer mehr Land das nicht genutzt werden kann;56; ; ; ; ;9;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Mehr bezahlen und weniger bekommen;31; ; ; ; ; ;Irgendjemand muss das ja alles finanziere;13; ; ; ;6;6;5;5;5;6;7;6;6;6;5;6;7;6;6;5;6;98;2;3;1;4;5;3;2;2;4;2;2;2;3;3;2;3;1;1;4;2;2;2;3;3;2;1;2;2;2;2;2;1;98;8;4;2;7;9;1;5;5;5;8;5;5;5;8;1;1;0;1;7;5;5;1;1;9;7;9;3;1;8;16;1;1;1;2;3;32;3;99999998;33;21;1;2;21;3;8;2;2;,572061045236464;,515317303875486
10053;20240922.45392.242;1982;99999998;99999998; ;2;3;2;0;0;0;0;0;0;0;1;0;0;0;4;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;99999998;99999998;99999998;99999998;99999998; ;99998; ; ; ; ;99998; ; ; ; ; ;99998; ; ; ; ; ; ;99998; ; ; ;99999998;5;98;2;4;9;9;5;2;5;5;5;2;5;98;5;98;3;8;8;8;8;8;8;8;8;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;8;8;8;2;2;2;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;4;1;1;1;2;1;51;3;99999998;32;21;3;2;51;1;15;1;2;1,36718774731455;1,37790072957358
10054;20240922.32859.242;1958;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;2;1;4;99999998;99999998;Erhaltung der Natur;32; ; ; ; ; ; ; ;99; ; ; ; ; ; ; ;99999998; ; ; ; ; ;99999998; ; ; ; ;9;2;99999998;4;99999998; ;99998; ; ; ; ;99998; ; ; ; ;Soziale Ungerechtigkeit;40; ; ; ; ; ; ;99; ; ; ;5;7;98;7;6;1;3;4;7;98;6;3;6;98;6;7;8;2;3;1;1;3;1;8;2;3;6;1;1;1;1;2;1;3;4;4;2;2;2;4;1;8;8;1;4;3;3;8;2;1;98;3;2;2;2;0;3;98;2;98;0;98;3;0;0;98;0;98;0;0;0;0;0;0;5;0;8;4;1;98;2;1;1;1;1;2;32;7;8;99999998;10;99999998;2;32;7;4;2;1;,682323745913914;,873218560737569
