CODERESP;SECURITYID;BIRTHYEARR;CONTROL1;CONTROL3;CONTROL3@;S11;POLINT;PART;NONVOTE_01;NONVOTE_02;NONVOTE_03;NONVOTE_04;NONVOTE_05;NONVOTE_06;NONVOTE_07;NONVOTE_08;NONVOTE_09;NONVOTE_10;NONVOTE_98;PARTY15;VOTE1;VOTE1A;VOTE1B;VOTE1C;IMPORTANCE1;REASON1ACC1;REASON1ACC1_01;REASON1ACC1_02;REASON1ACC1_03;REASON1ACC1_04;REASON2ACC1;REASON2ACC1_01;REASON2ACC1_02;REASON2ACC1_03;REASON1DEN1;REASON1DEN1_01;REASON1DEN1_02;REASON1DEN1_03;REASON2DEN1;REASON2DEN1_01;REASON2DEN1_02;REASON2DEN1_03;VOTE2;VOTE2A;VOTE2B;VOTE2C;IMPORTANCE2;REASON1ACC2;REASON1ACC2_01;REASON1ACC2_02;REASON1ACC2_03;REASON1ACC2_04;REASON2ACC2;REASON2ACC2_01;REASON2ACC2_02;REASON2ACC2_03;REASON1DEN2;REASON1DEN2_01;REASON1DEN2_02;REASON1DEN2_03;REASON2DEN2;REASON2DEN2_01;REASON2DEN2_02;REASON2DEN2_03;VOTE3;VOTE3A;VOTE3B;VOTE3C;IMPORTANCE3;REASON1ACC3;REASON1ACC3_01;REASON1ACC3_02;REASON1ACC3_03;REASON2ACC3;REASON2ACC3_01;REASON2ACC3_02;REASON2ACC3_03;REASON1DEN3;REASON1DEN3_01;REASON1DEN3_02;REASON1DEN3_03;REASON2DEN3;REASON2DEN3_01;REASON2DEN3_02;REASON2DEN3_03;REASON2DEN3_04;TRUST_1;TRUST_2;TRUST_3;TRUST_4;TRUST_5;TRUST_6;TRUST_7;TRUST_8;TRUST_9;TRUST_10;TRUST_30;TRUST_33;TRUST_34;TRUST_38;TRUST_39;TRUST_40;TRUST_41;TRUST_42;LRSP;VALUE4;VALUE7;VALUE8;VALUE10;DIFFICUL1;DECTIME1;ARGU1_1;ARGU1_2;ARGU1_3;ARGU1_4;ARGU1_5;ARGU1_6;DIFFICUL2;DECTIME2;ARGU2_1;ARGU2_2;ARGU2_3;ARGU2_4;ARGU2_5;ARGU2_6;DIFFICUL3;DECTIME3;ARGU3_1;ARGU3_2;ARGU3_3;ARGU3_4;ARGU3_5;ARGU3_6;COVID1A;COVID1B;COVID1C;VACC;PFLEGE1;PFLEGE2_1;PFLEGE2_2;JUSTI_1;JUSTI_2;ONLINE;MEDIAUSE_1;MEDIAUSE_2;MEDIAUSE_3;MEDIAUSE_4;MEDIAUSE_5;MEDIAUSE_6;MEDIAUSE_7;MEDIAUSE_8;MEDIAUSE_9;MEDIAUSE_10;MEDIAUSE_11;MEDIAUSE_12;MEDIAUSE_13;MEDIAUSE_14;MEDIAUSE_15;MEDIAUSE2_1;MEDIAUSE2_2;MEDIAUSE2_3;MEDIAUSE2_4;MEDIAUSE2_5;MEDIAUSE2_6;MEDIAUSE2_7;MEDIAUSE2_8;DISCUS;VOTEWIE;PART2;PARTYA;CITIZENREPA;ORIGINPARENTS;CONFESSR;CONFESSD;CULT;EDUC;ACTI;ACTIPREV;S17JOBPOSITION;WORKLOAD;S17SECTOR;MAINEARNER;EDUCMAIN;ACTIMAIN;INCOME;INCOMEPRECARIAT;HABITAT;GEWVORL1;GEWVORL2;GEWVORL3
10016;20211128.87577.212;1987;99999998;99999998; ;2;1;1;8;8;8;8;8;8;8;8;8;8;8;17;1;4;99999998;99999998;7;Wertschätzung gegenüber Pflegepersonal;31; ; ; ;Pandemie hat gezeigt wie wichtig die Pflege ist;28; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;4;99999998;4; ;99999998; ; ; ; ;99999998; ; ;Losverfahren, man weiss nicht welche Überzeugungen ein Richter/In hat, bevorzuge daher Parteizugehörigkeit;30; ; ;Der Lösungsvorschlag hat mich nicht überzeugt;13; ; ;1;4;99999998;99999998;8;Pandemiebekämpfung, Vertrauen in Bundesrat;33;203; ;Niemand hat eine andere Lösung präsentieren können, die allenfalls gleich wirksam gewesen wäre;53; ; ; ;99999998; ; ; ;99999998; ; ; ;8;8;6;5;7;8;8;8;7;8;8;8;2;8;8;8;3;9;3;2;3;3;3;1;1;1;1;1;3;3;3;2;1;1;3;1;1;1;1;1;1;1;4;1;4;4;4;3;1;3;1;4;1;4;3;4;1;10;5;0;10;0;0;0;10;0;0;0;7;8;0;0;6;4;5;2;5;8;3;9;2;1;8;2;1;1;5;1;1;52;3;99999998;32;22;2;1;99999998;99999998;5;1;1;0.470415943;0.367419741;0.362337453
10019;20211128.79436.212;1944;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;2;1;4;99999998;99999998;7;La reconnaissance du travail infirmier et l'importance des soins prodigués;31; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;2;99999998;98; ;99999998; ; ; ; ;99999998; ; ;Il n'y a pas de choiy grand se tire au sort;30; ; ; ;99; ; ;1;4;99999998;99999998;8;Plus de riguerus. plus de facilité puours appliquer les décisions du CF;25; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;5;6;7;5;3;8;8;8;6;8;7;5;5;5;7;6;6;6;3;1;4;1;1;2;1;1;2;1;1;3;1;8;1;3;3;3;2;1;1;1;1;2;3;1;8;4;2;3;1;3;1;5;2;3;4;3;2;7;8;8;5;5;5;3;4;4;3;0;0;1;0;3;3;3;0;0;0;6;0;3;2;1;9;2;1;1; ;2;99999998;52;7;98;99999998;21;99999998;1;99999998;99999998;5;2;1;0.569218193;0.784415217;0.622929381
10020;20211128.73297.212;1980;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;9;1;2;99999998;99999998;1;Missstände bei den Austellungs-/Arbeitsbedingungen beheben für eine qualitativ gute Pflege;52; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;8;Unabhängigkeit von Legislative und Judikative stärken;32; ; ; ;Ganz generell Geldeinfluss auf die Staatsorgane minimieren;31; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;6;Finanzhilfen stärken;42; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;9;8;5;9;6;9;8;7;98;7;8;8;2;7;98;9;4;9;5;3;5;3;3;1;3;2;2;3;2;2;3;1;2;3;1;1;3;4;3;1;2;2;1;2;3;3;2;2;1;3;1;6;2;3;1;1;3;6;2;1;9;0;1;1;4;1;3;3;2;1;0;1;5;5;2;2;98;8;98;8;2;1;9;9;1;1; ;2;99999998;52;3;99999998;32;10;1;1;99999998;99999998;13;1;2;0.667631614;0.676190484;0.625159417
10022;20211128.71302.212;1974;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;2;99999998;8; ;99999998; ; ; ; ;99999998; ; ;ne pas inscrire une profession dans la constitution;52; ; ; ;99; ; ;2;99999998;4;99999998;6; ;99999998; ; ; ; ;99999998; ; ;laisser tel quel -> montrer ses preuves;21; ; ; ;99; ; ;2;99999998;4;99999998;10; ;99999998; ; ; ;99999998; ; ;liberté individuelle bafuée!!;53; ; ;moins de liberté - plus de l'état;53; ; ; ;5;5;5;3;3;3;2;2;3;2;2;2;98;5;5;5;5;5;8;3;3;5;4;1;1;2;1;1;1;1;4;1;1;4;4;4;2;2;2;1;1;1;3;3;1;2;1;1;1;3;1;4;8;8;8;4;2;7;3;2;2;3;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;5;1;1;10;1;1;1;2;1;4;32;3;99999998;33;10;2;1;99999998;99999998;7;2;2;1.419867071;1.027671076;0.837709546
10026;20211128.70515.212;1944;99999998;99999998; ;1;2;1;8;8;8;8;8;8;8;8;8;8;8;17;1;4;99999998;99999998;10;Ausbildung Pflegepersonal;26; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;8;99999998;8; ;99999998; ; ; ; ;99999998; ; ; ;99; ; ; ; ; ; ;1;4;99999998;99999998;9;Zum Schutz des Volkes;37; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;8;6;5;5;5;8;6;5;6;5;7;7;1;6;8;5;0;5;5;2;3;3;4;2;1;1;1;1;3;3;3;2;1;3;3;3;2;3;2;1;1;2;3;2;3;2;3;1;2;1;1;4;2;2;8;8;2;6;6;8;5;3;3;3;0;6;4;0;0;0;0;0;0;0;5;0;0;5;5;5;3;1;9;9;1;1;1;1;2;32;7;1;11;21;1;1;99999998;99999998;2;1;1;0.539525754;0.580476445;0.505203168
10027;20211128.88429.212;1953;99999998;99999998; ;1;1;1;8;8;8;8;8;8;8;8;8;8;8;1;2;99999998;4;99999998;10; ;99999998; ; ; ; ;99999998; ; ;Die Loehne gehoeren NICHT in ein Gesetz!;52;53; ;Haette man die Loehen weggelassen, dann haette ich in jedem Fall JA gestimmt.;53; ; ;2;99999998;4;99999998;10; ;99999998; ; ; ; ;99999998; ; ;Bei Wahlen soll man NICHT wuerfeln oder mit LOS entscheiden!;30; ; ; ;99; ; ;1;4;99999998;99999998;10;Es ist die beste Loesung fuer mich und das ganze Schweizervolk.;12; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;8;9;7;7;7;10;7;5;5;5;9;9;0;9;9;8;0;8;7;4;4;3;6;1;1;1;1;1;2;1;3;1;1;4;4;3;1;1;1;1;1;1;1;1;4;3;4;3;1;3;1;4;2;2;4;4;2;5;4;8;10;4;4;4;4;5;9;0;4;3;10;0;98;1;1;1;0;8;5;10;2;1;10;1;1;1; ;2;99999998;32;7;3;32;10;1;1;99999998;99999998;6;1;1;1.118752794;1.127730275;1.112159513
10032;20211128.70463.212;1950;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;1;1;4;99999998;99999998;10;weil es sehr wichtig war?;31; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10; ;99; ; ; ; ; ; ; ; ;99999998; ; ; ;99999998; ; ;1;4;99999998;99999998;10;nur so Können wir etwas gegen Covid machen;33; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ; ;10;10;5;1;2;5;10;6;5;3;10;10;4;9;10;4;1;4;5;1;5;5;5;1;1;1;1;1;1;2;4;2;2;2;2;3;1;3;4;1;1;1;1;1;4;3;4;3;3;3;1;4;1;3;2;1;2;10;5;5;8;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;4;1;10;4;1;10;1;1;1;1;1;4;32;8;8;99999998;10;99999998;3;99999998;99999998;4;2;2;2.019020202;2.59749639;2.175625852
10036;20211128.83274.212;1982;99999998;99999998; ;2;2;1;8;8;8;8;8;8;8;8;8;8;8;5;1;4;99999998;99999998;7;Arbeitsbedingungen im Gesundheitswesen müssen dringend verbessert werden.;52; ; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;1;2;99999998;99999998;5;Dass es positiv sein kann, wenn die Richter*innen Parteiunabhängig gewählt werden und somit nicht dem Druck und den Erwartungen der Parteien unterstehen (z.B. wegen der Wiederwahl).;30;31; ; ; ;99; ; ; ;99999998; ; ; ;99999998; ; ;2;99999998;4;99999998;10; ;99999998; ; ; ;99999998; ; ;Ich finde es nicht gut, wenn der Bundesrat soviel Entscheidungen unabhängig von der Legislativen und dem Volk umsetzen und bestimmen kann.;25; ; ;Unser politisches System, die Demokratie und deren Aufbau in der Schweiz, sind dadurch in Gefahr.;24; ; ; ;4;3;5;2;5;4;4;6;5;8;4;4;5;4;8;5;5;7;2;1;4;2;4;1;2;1;1;1;8;3;4;1;3;1;1;1;8;4;3;2;1;4;8;4;1;1;1;1;1;3;8;4;8;3;8;3;1;3;2;9;8;2;0;1;9;0;1;1;1;0;2;0;1;3;3;4;6;5;6;8;3;1;10;5;1;1; ;2;99999998;52;3;99999998;33;21;1;3;99999998;99999998;98;1;1;1.390691626;1.103562869;1.516646933
10037;20211128.88286.212;1974;99999998;99999998; ;2;4;1;8;8;8;8;8;8;8;8;8;8;8;99;8;99999998;99999998;99999998;6; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;8;99999998;99999998;99999998;7; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;8;99999998;99999998;99999998;8; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;5;5;5;6;98;98;7;98;98;98;7;7;98;7;7;7;98;7;5;9;5;5;3;2;2;2;2;2;8;3;3;1;2;3;3;2;2;2;2;1;1;2;2;2;2;2;2;2;1;3;1;6;3;3;3;3;2;8;8;7;7;7;7;7;6;8;8;6;5;1;1;1;5;5;5;5;5;6;5;6;1;1;10;3;1;1;2;1;4;32;8;3;98;98;8;2;32;3;6;2;2;0.391151255;0.389720101;0.392054758
10038;20211128.87309.212;1952;99999998;99999998; ;2;3;8;8;8;8;8;8;8;8;8;8;8;8;16;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ;99999998;99999998;99999998;99999998;99999998; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;99999998; ; ; ;1;1;0;98;98;98;1;0;98;98;0;0;0;98;0;0;0;0;98;8;8;8;8;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;4;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;99999998;98;16;1;1; ;2;99999998;21;98;99999998;99999998;98;99999998;1;99999998;99999998;1;2;8;0.370425785;0.370425785;0.370425785
