CODERESP,SECURITYID,BIRTHYEARR,CONTROL1,CONTROL3,CONTROL3@,S11,POLINT,PART,NONVOTE_01,NONVOTE_02,NONVOTE_03,NONVOTE_04,NONVOTE_05,NONVOTE_06,NONVOTE_07,NONVOTE_08,NONVOTE_09,NONVOTE_10,NONVOTE_98,PARTY15,VOTE1,VOTE1A,VOTE1B,VOTE1C,IMPORTANCE1,REASON1ACC1_01,REASON1ACC1_02,REASON1ACC1,REASON2ACC1_01,REASON2ACC1,REASON1DEN1_01,REASON1DEN1_02,REASON1DEN1_03,REASON1DEN1,REASON2DEN1_01,REASON2DEN1_02,REASON2DEN1_03,REASON2DEN1,VOTE2,VOTE2A,VOTE2B,VOTE2C,IMPORTANCE2,REASON1ACC2_01,REASON1ACC2_02,REASON1ACC2_03,REASON1ACC2,REASON2ACC2_01,REASON2ACC2_02,REASON2ACC2_03,REASON2ACC2,REASON1DEN2_01,REASON1DEN2_02,REASON1DEN2_03,REASON1DEN2,REASON2DEN2_01,REASON2DEN2_02,REASON2DEN2_03,REASON2DEN2,VOTE3,VOTE3A,VOTE3B,VOTE3C,IMPORTANCE3,REASON1ACC3_01,REASON1ACC3_02,REASON1ACC3_03,REASON1ACC3,REASON2ACC3_01,REASON2ACC3_02,REASON2ACC3_03,REASON2ACC3,REASON1DEN3_01,REASON1DEN3_02,REASON1DEN3_03,REASON1DEN3_04,REASON1DEN3_05,REASON1DEN3,REASON2DEN3_01,REASON2DEN3_02,REASON2DEN3_03,REASON2DEN3,VOTE4,VOTE4A,VOTE4B,VOTE4C,IMPORTANCE4,REASON1ACC4_01,REASON1ACC4_02,REASON1ACC4_03,REASON1ACC4_04,REASON1ACC4,REASON2ACC4_01,REASON2ACC4_02,REASON2ACC4_03,REASON2ACC4,REASON1DEN4_01,REASON1DEN4_02,REASON1DEN4_03,REASON1DEN4_04,REASON1DEN4,REASON2DEN4_01,REASON2DEN4_02,REASON2DEN4_03,REASON2DEN4_04,REASON2DEN4,TRUST_1,TRUST_2,TRUST_3,TRUST_5,TRUST_6,TRUST_8,TRUST_9,TRUST_12,TRUST_15,TRUST_23,TRUST_24,TRUST_33,TRUST_41,TRUST_43,TRUST_44,TRUST_45,TRUST_46,TRUST_47,TRUST_48,TRUST_49,TRUST_50,LRSP,VALUE3,VALUE5,VALUE8,VALUE10,VALUE11,VALUE15,DIFFICUL1,DECTIME1,ARGU1_1,ARGU1_2,ARGU1_3,ARGU1_4,ARGU1_5,ARGU1_6,DIFFICUL2,DECTIME2,ARGU2_1,ARGU2_2,ARGU2_3,ARGU2_4,ARGU2_5,ARGU2_6,DIFFICUL3,DECTIME3,ARGU3_1,ARGU3_2,ARGU3_3,ARGU3_4,ARGU3_5,ARGU3_6,DIFFICUL4,DECTIME4,ARGU4_1,ARGU4_2,ARGU4_3,ARGU4_4,ARGU4_5,ARGU4_6,COVID1A,COVID1B,COVID1C,COVID1D,ONLINE,MEDIAUSE_1,MEDIAUSE_2,MEDIAUSE_3,MEDIAUSE_4,MEDIAUSE_5,MEDIAUSE_6,MEDIAUSE_7,MEDIAUSE_8,MEDIAUSE_9,MEDIAUSE_10,MEDIAUSE_11,MEDIAUSE_12,MEDIAUSE_13,MEDIAUSE_14,MEDIAUSE_15,MEDIAUSE2_1,MEDIAUSE2_2,MEDIAUSE2_3,MEDIAUSE2_4,MEDIAUSE2_5,MEDIAUSE2_6,MEDIAUSE2_7,MEDIAUSE2_8,DISCUS,VOTEWIE,PART2,MEDKONS_1,MEDKONS_2,MEDKONS_3,MEDKONS_4,MEDKONS_5,MEDKONS_6,MEDKONS_7,MEDKONS_8,MEDKONS_9,MEDKONS_10,MEDKONS_11,MEDKONS_12,MEDNR_1,MEDNR_2,MEDNR_3,MEDNR_4,MEDNR_5,MEDNR_6,MEDNR_7,MEDNR_8,MEDNR_9,MEDNR_10,MEDNR_11,MEDNR_12,MEDNR_13,MEDNR_14,MEDNR_15,MEDNR_16,MEDNR_17,MEDNR_18,MEDNR_19,MEDNR_20,MEDNR_21,MEDNR_22,MEDNR_23,MEDNR_24,MEDNR_25,MEDNR_26,MEDNR_27,MEDNR_28,MEDNR_29,MEDNR_30,MEDNR_31,MEDNR_32,MEDNR_33,MEDNR_34,MEDHAUPT,PARTYA,CITIZENREPA,ORIGINPARENTS,CONFESSD,CONFESSR,CULT,EDUC,ACTI,ACTIPREV,S17JOBPOSITION,WORKLOAD,S17SECTOR,MAINEARNER,EDUCMAIN,ACTIMAIN,INCOME,INCOMEPRECARIAT,HABITAT,GEWVORL1,GEWVORL2,GEWVORL3,GEWVORL4
11918,20220213.12773.213,1965,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,3,2,99999998,4,99999998,4,99999998, , ,99999998, ,25, , ,Menschenwohl steht über Tierwohl,99, , , ,2,99999998,4,99999998,5,99999998, , , ,99999998, , , ,35,51, ,"Zugelassene Produkte, auf welchen man Steuern erhebt, sollten auch angepriesen werden dürfen. Ich glaube auch nicht dass die Werbung so viel Einfluss auf die Jugendlichen hat; solange Personen (Vorbilder) rauche spielt die Marke keine Rolle!",99, , , ,1,4,99999998,99999998,6,99, , , , , , , ,99999998, , , , , ,99999998, , , ,2,99999998,2,99999998,5,99999998, , , , ,99999998, , , ,47,22, , ,Sehe keine Notwendigkeit für Sponsoring von den grossen Verlagshäusern.,12, , , ,"Künstliches Am Leben halten (finanzieren) von Papierzeitungen, welche ein Auslaufmodell sind, macht keinen Sinn. ... obschon ich lieber in einer Papierzeitung blättere als online !",8,5,4,5,8,0,6,8,7,4,5,4,0,7,5,8,7,0,7,4,5,7,4,3,2,4,2,3,1,1,4,4,4,2,1,3,1,2,3,3,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,2,2,1,2,2,1,1,1,1,3,7,5,7,8,0,3,1,7,2,0,1,0,1,8,3,1,2,1,0,4,7,4,7,4,1,10,1,2,2,1,4,5,2,5,4,5,1,2,1,1,1,99999998,99999998,99999998,99999998,1,1,1,0,1,1,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,1,1,1,0,1,1,1,1,1,6,3,1,1,2, ,99999998,51,1,99999998,12,21,1,1,99999998,99999998,6,1,1,1.08133017386363,.68595345562827,1.02053425043074,.983145839438489
11920,20220213.21902.213,1984,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,1,1,4,99999998,99999998,5,24, ,Tierwohl,99, ,99999998, , , ,99999998, , , ,1,4,99999998,99999998,7,21, , ,Schutz für Kinder,99, , , ,99999998, , , ,99999998, , , ,1,4,99999998,99999998,7,99, , , , , , , ,99999998, , , , , ,99999998, , , ,2,99999998,4,99999998,7,99999998, , , , ,99999998, , , ,99, , , , , , , , , ,5,5,5,5,7,5,7,5,7,5,5,4,7,7,3,7,4,3,5,5,5,7,3,6,3,8,3,5,1,1,2,2,3,3,3,3,1,1,1,1,1,3,3,3,1,1,8,2,2,3,4,3,1,1,4,3,4,1,1,1,1,1,1,2,3,6,5,5,7,3,5,5,5,3,7,5,3,5,0,3,5,3,3,0,7,5,5,5,3,1,10,1,2,1,1,4,4,2,4,3,3,3,2,0,0,0,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,0,0,5,1,1,1,1,2,2,32,3,99999998,31,10,1,1,99999998,99999998,15,1,2,.0247975021612098,.0633009187336584,.0253039934182677,.0243769533848068
11924,20220213.13168.213,1959,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,9,2,99999998,4,99999998,5,99999998, , ,99999998, ,21,42, ,Tierversuche sind im geregletem Rahumen erfoderlich. Es gibt keine Medikamente ohne vorgängige Versuche an Tieren. Import würde verunmöglicht,99, , , ,2,99999998,2,99999998,5,99999998, , , ,99999998, , , ,17,35, ,"Werbeverbot zu extrem, bereits heute sehr restriktiv geregelt",31, , ,"Jugendliche können selber bestimmen, ob sie rauchen wollen oder nicht, unabhängig von Werbung",2,99999998,2,99999998,5,99999998, , , ,99999998, , , ,13, , , , ,Sparpotential sehr gering für Kreditaufnahmen der Firmen eher unwahrscheinlich,25,31, ,"Bei AHV will gespart werden, bei Grossverdienern hingegen nicht. Wo würde dann wohl das fehlende Geld wieder hereingeholt werden?",1,4,99999998,99999998,8,47,20, , ,"Printmedien müssen unbedingt unterstèutzt werden, vor allem kleine Zeitungen, auch bei der Zustellung. Guter Journalismus ist mir wichtig",47, , ,"Da die Grossverlage nur wenig Unterstützung erhalten hätten, kleienre dafür umseo mehr, habe ich mich für ein JA entschieden.",99999998, , , , ,99999998, , , , ,8,5,4,3,5,5,3,6,7,8,8,6,0,7,4,9,5,0,4,5,7,4,3,4,2,3,2,2,1,1,3,2,4,1,1,8,2,3,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,3,3,3,1,1,2,1,2,7,2,5,8,6,6,5,0,2,6,98,0,0,0,0,2,0,0,0,0,5,0,9,2,1,10,5,4,2,4,2,3,2,5,5,4,1,1,1,0,0,99999998,99999998,99999998,99999998,5,5,0,0,1,5,1,99999998,99999998,99999998,99999998,1,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,5,4,2,5,4,8,9,1,1,1,2,2,51,7,3,33,10,1,1,99999998,99999998,4,1,2,.906716577365698,.601956836737369,.904554978736129,.879645065339896
11926,20220213.14305.213,1969,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,9,1,3,99999998,99999998,5,21, ,"Meine Tochter! Zudem bin ich der Meinung, dass der Mensch sich nicht immer so wichtig nehmen muss. Weshalb dürfen Menschen zu ihrem eigenen Zweck die Tiere unterdrücken und beherrschen? Wenn es Alternativen gibt, sollen diese noch stärker gefördert werden.",32,Anscheinend gibt es Alternativen. Diese sollen unbedingt gefördert werden.,99999998, , , ,99999998, , , ,1,2,99999998,99999998,7,21, , ,Schutz der Jugendlichen.,36, , ,Sanktionen gegen die Tabakindustrie.,99999998, , , ,99999998, , , ,2,99999998,4,99999998,7,99999998, , , ,99999998, , , ,92, , , , ,Die Argumente der Gegnerschaft waren für mich überzeugender. Zudem bin ich kein Sympathisant der SVP,99, , , ,1,3,99999998,99999998,6,33, , , ,"Ich wollte nicht, dass die regionalen Medienschaffenden von steinreichen Leuten aufgekauft werden und sie dadurch die Neutralität bzw. Unabhängigkeit verlieren.",99, , , ,99999998, , , , ,99999998, , , , ,5,5,2,4,8,5,5,8,3,7,7,5,6,6,0,5,5,0,1,7,7,5,2,4,2,3,6,2,1,2,1,1,1,4,2,3,1,2,1,1,1,2,3,3,2,2,3,4,3,2,1,2,2,2,2,2,2,2,3,3,1,1,1,2,3,7,4,7,8,0,0,0,7,7,5,2,0,4,7,6,5,5,1,1,2,5,3,7,8,2,8,5,4,2,2,1,5,3,5,5,3,1,2,1,0,0,99999998,99999998,99999998,99999998,4,0,0,1,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,1,0,0,3,3,1,5,0,6,9,1,2,1,2,1,40,3,99999998,32,10,3,1,99999998,99999998,9,1,2,.910211688442511,2.16266322300323,1.19888347468502,1.16586825258287
11929,20220213.19059.213,1943,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,16,2,99999998,4,99999998,5,99999998, , ,99999998, ,31, , ,Forschung CH,99, , , ,1,4,99999998,99999998,10,43, , ,Schutz der Gesundheit,99, , , ,99999998, , , ,99999998, , , ,2,99999998,2,99999998,8,99999998, , , ,99999998, , , ,33, , , , ,zu teuerstes Geschenk,99, , , ,2,99999998,8,99999998,6,99999998, , , , ,99999998, , , ,44, , , ,Giesskannenprinzip,99, , , , ,8,6,5,3,8,5,3,6,5,5,7,9,0,5,0,5,4,0,0,4,5,5,2,2,4,1,3,2,1,1,3,3,3,2,2,2,1,1,1,1,1,4,4,4,8,8,8,8,8,8,8,8,2,2,3,3,2,1,2,2,1,1,1,1,2,6,1,8,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,10,5,2,1,3,2,1,3,3,5,5,1,1,3,98,98,99999998,99999998,99999998,99999998,4,98,98,98,98,4,1,99999998,99999998,99999998,99999998,98,98,99999998,99999998,99999998,99999998,99999998,98,98,98,98,5,5,2,2,1,10,16,1,1,1,2,2,32,7,3,33,10,2,1,99999998,99999998,8,1,2,.904112754494986,.417374613816617,.871284420792568,1.13259994068407
11931,20220213.24243.213,1946,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,6,2,99999998,4,99999998,2,99999998, , ,99999998, ,16, , ,übertrieben!,16, , ,kontraproduktiv,1,4,99999998,99999998,8,45, , ,Volksgesundheit,26, , ,Prävention: Jugendschutz,99999998, , , ,99999998, , , ,2,99999998,4,99999998,6,99999998, , , ,99999998, , , ,90, , , , ,Unklarheit,90, , ,unklare Information: Mistrauen!,1,4,99999998,99999998,8,21, , , ,"Lokalradios, Lokalpresse",99, , , ,99999998, , , , ,99999998, , , , ,8,7,3,5,6,2,6,1,3,1,5,8,5,7,5,5,3,3,4,5,2,5,6,9,6,6,8,4,1,1,4,3,4,4,1,4,1,2,1,1,1,3,3,4,1,1,3,3,3,3,3,2,1,1,2,2,2,2,3,2,1,1,1,1,3,2,5,2,0,2,2,2,2,1,2,1,1,1,1,1,2,2,3,1,0,3,5,5,2,1,9,1,2,1,1,1,3,3,4,5,4,3,1,0,0,0,99999998,99999998,99999998,99999998,0,0,0,1,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,1,0,1,0,5,2,5,5,5,8,6,1,1,1,1,6,40,7,3,32,10,2,1,99999998,99999998,6,8,2,.855798277750082,.391365845377552,.853758067577961,.830247015154794
11934,20220213.16464.213,1954,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,16,2,99999998,4,99999998,5,99999998, , ,99999998, ,99, , , , , , , ,2,99999998,4,99999998,5,99999998, , , ,99999998, , , ,99, , , , , , , ,2,99999998,4,99999998,5,99999998, , , ,99999998, , , ,99, , , , , , , , , ,2,99999998,4,99999998,10,99999998, , , , ,99999998, , , ,12, , , ,Bezahlter Mainstream und Propaganda muss nicht sein. Journalisten sind zu faul geworden. Überall nur Copy Paste Schreiberlinge.,99, , , , ,0,0,0,5,10,5,5,0,5,5,0,0,5,5,5,0,0,0,5,0,0,7,5,6,6,6,3,6,1,1,4,2,4,1,1,1,1,1,8,4,1,1,8,1,1,1,1,1,1,4,8,4,1,1,4,4,4,1,1,1,1,1,1,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,98,0,0,98,5,0,0,0,1,3,2,10,1,1,4,1,1,1,1,1,1,1,4,1,0,0,0,99999998,99999998,99999998,99999998,0,0,5,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,0,0,5,0,0,98,1,1,1,1,2,6,32,1,99999998,11,10,1,3,99999998,99999998,4,2,2,.45578312131898,.305452689950006,.439233636392239,.570968536395688
11936,20220213.14237.213,1947,99999998,99999998, ,1,3,1,8,8,8,8,8,8,8,8,8,8,8,16,2,99999998,8,99999998,5,99999998, , ,99999998, ,99, , , , , , , ,2,99999998,8,99999998,4,99999998, , , ,99999998, , , ,99, , , , , , , ,8,99999998,99999998,99999998,98,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,2,99999998,2,99999998,9,99999998, , , , ,99999998, , , ,99, , , , , , , , , ,6,4,5,4,8,5,6,8,8,4,8,9,7,98,98,7,3,98,5,9,6,5,4,4,4,3,1,3,2,8,1,2,2,2,2,2,2,8,3,3,1,3,3,2,8,8,2,3,2,2,3,3,8,8,3,2,3,3,2,2,1,8,2,2,3,3,1,2,98,98,6,4,5,98,3,0,98,98,98,98,5,98,98,98,4,5,98,98,5,1,5,98,2,98,98,98,98,98,98,2,2,98,98,2,0,1,99999998,99999998,99999998,99999998,3,0,0,0,2,98,98,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,1,1,2,0,98,98,98,98,98,99999998,19,1,1,1,2,6,32,7,98,99999998,10,99999998,8,99999998,99999998,98,2,1,.0807118165598911,.0540907293969676,.0863270640707262,.1011092899572
11937,20220213.17766.213,1958,99999998,99999998, ,1,2,1,8,8,8,8,8,8,8,8,8,8,8,99,3,99999998,99999998,8,0,99999998, , ,99999998, ,99999998, , , ,99999998, , , ,8,99999998,99999998,99999998,0,99999998, , , ,99999998, , , ,99999998, , , ,99999998, , , ,8,99999998,99999998,99999998,0,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,8,99999998,99999998,99999998,0,99999998, , , , ,99999998, , , ,99999998, , , , ,99999998, , , , ,5,0,0,0,2,0,0,0,5,0,0,0,98,3,98,0,0,0,0,0,0,98,9,9,9,8,1,1,8,8,8,8,8,8,2,8,8,8,8,4,8,1,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,1,1,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,98,98,98,98,98,98,98,98,98,98,98,1,1,0,0,0,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,0,0,99999998,16,9,8,8, ,99999998,98,8,98,99999998,98,99999998,8,99999998,99999998,98,8,8,.184250015034643,.184338770950304,.183874176850391,.184104710458435
11942,20220213.22532.213,1945,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,1,2,99999998,4,99999998,6,99999998, , ,99999998, ,36, , ,"Versuche können nicht an Menschen vorgenommen werden, eher an Tieren",99, , , ,2,99999998,4,99999998,8,99999998, , , ,99999998, , , ,35, , ,Totales Werbeverbot geht zu weit,99, , , ,1,4,99999998,99999998,9,21,20, ,Stanortattraktivität der Schweiz verbesern,99, , , ,99999998, , , , , ,99999998, , , ,1,4,99999998,99999998,8,25,33,47, ,"Vielfalt der Berichterstattung, Unterstützung von kleineren Medien, Unabhängigkeit",99, , , ,99999998, , , , ,99999998, , , , ,10,10,5,8,10,2,8,3,10,4,0,10,1,10,5,7,5,2,8,2,3,8,6,6,6,6,1,4,1,1,4,4,4,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,4,4,3,1,1,1,1,1,3,3,3,1,1,1,1,2,8,8,10,10,2,6,3,5,5,8,0,2,2,0,2,2,3,2,1,0,8,8,10,3,2,9,5,2,3,3,3,5,3,5,5,5,4,1,0,3,2,99999998,99999998,99999998,99999998,5,1,1,0,1,1,1,99999998,99999998,99999998,99999998,1,1,99999998,99999998,99999998,99999998,99999998,1,1,1,0,5,5,5,5,5,9,1,1,1,1,2,6,52,7,3,32,10,1,1,99999998,99999998,7,1,2,1.7627647459448,1.18135404365062,2.25362303098911,1.61913074142989
11946,20220213.24516.213,1964,99999998,99999998, ,1,3,2,0,0,0,0,0,1,0,0,0,0,0,17,99999998,99999998,99999998,99999998,99999998,99999998, , ,99999998, ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , , ,99999998, , , ,99999998, , , , ,99999998, , , , ,5,4,2,2,98,0,98,2,3,1,1,1,2,5,0,7,3,0,3,2,3,5,3,5,4,2,3,3,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,0,1,5,1,1,1,5,1,1,1,4,1,1,0,0,0,99999998,99999998,99999998,99999998,0,0,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,5,0,0,0,0,0,0,0,0,2,18,1,1,2, ,99999998,32,3,99999998,33,10,1,1,99999998,99999998,4,2,2,2.4007731760724,2.40074933065824,2.40157067651652,2.40150664827094
11951,20220213.25409.213,1939,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,2,2,99999998,8,99999998,5,99999998, , ,99999998, ,25,15, ,"freie Forschung, Krebskranke in der Familie",30, , ,Forschungsplatz Schweiz!,2,99999998,4,99999998,5,99999998, , , ,99999998, , , ,22, , ,Freie Marktwirtschaft,37, , ,Eigenverantwortung der Familie,2,99999998,4,99999998,8,99999998, , , ,99999998, , , ,32, , , , ,Es betrifft keine KMU's,43, , ,Jeder Verischerungsvertrag muss Stempelabgabe getätigt werden,2,99999998,4,99999998,9,99999998, , , , ,99999998, , , ,22, , , ,Kleine Zeitungen werden von dern grossen aufgekauft. Beispiel. TA Zürich Unterländer,17, , , ,4 grosse Vorlage kassieren!,9,8,7,6,9,8,6,9,8,7,9,8,5,7,5,7,7,5,5,8,9,2,2,5,2,2,5,2,1,1,3,3,4,1,2,1,2,2,3,2,2,1,2,2,1,1,4,4,4,1,1,1,2,2,4,3,3,2,2,2,2,1,1,1,2,8,5,7,8,5,5,5,7,8,5,0,0,0,5,5,5,5,2,0,2,5,5,3,2,1,10,5,3,1,1,2,4,1,3,5,5,2,1,3,0,5,99999998,99999998,99999998,99999998,1,2,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,3,98,4,0,5,2,0,2,0,6,2,1,1,1,1,2,32,7,3,33,10,1,3,99999998,99999998,5,1,2,.18058867398239,.11455837260412,.180852568949391,.164191296762881
11959,20220213.22883.213,1999,99999998,99999998, ,1,4,2,0,1,0,0,0,0,0,0,0,0,0,16,99999998,99999998,99999998,99999998,99999998,99999998, , ,99999998, ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , ,99999998, , , ,99999998, , , , , ,99999998, , , ,99999998,99999998,99999998,99999998,99999998,99999998, , , , ,99999998, , , ,99999998, , , , ,99999998, , , , ,5,1,98,98,98,1,98,98,98,98,98,98,1,98,5,98,98,5,5,98,98,5,2,5,1,1,3,2,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,99999998,1,1,5,1,1,1,3,1,2,2,2,5,1,0,0,0,99999998,99999998,99999998,99999998,0,2,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,2,0,0,0,1,0,0,0,0,11,16,1,2,2, ,99999998,21,5,5,99999998,23,99999998,4,31,3,10,3,8,2.21595810328132,2.21043103307779,2.22513427192011,2.21718851477464
11960,20220213.27779.213,1939,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,1,2,99999998,8,99999998,7,99999998, , ,99999998, ,41, , ,Weil es die Schweiz nicht teilnehmen könnte,44, , ,Weil es andere Länder sowieso machen,1,4,99999998,99999998,8,41, , ,Ich empfehle jedem mit rauchen aufzuhören,46, , ,und andere mit dem Rauch nicht belästigen,99999998, , , ,99999998, , , ,1,4,99999998,99999998,9,41, , ,ich bin überhaupt für weniger Steuern,91, , ,manche sind einmalig begründet,99999998, , , , , ,99999998, , , ,2,99999998,4,99999998,9,99999998, , , , ,99999998, , , ,43, , , ,jeder soll selbstständig sein,31, , , ,und unabhängig,5,5,98,7,98,2,98,5,8,9,9,6,3,7,5,98,5,2,3,8,6,6,9,5,5,5,1,3,1,1,4,4,4,1,2,4,1,1,1,1,1,4,2,4,1,1,1,1,1,3,4,3,1,1,4,3,3,3,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,98,98,98,98,3,1,10,3,1,1,3,2,1,1,1,5,5,1,1,0,3,0,99999998,99999998,99999998,99999998,0,0,0,98,5,0,0,99999998,99999998,99999998,99999998,1,0,99999998,99999998,99999998,99999998,99999998,0,0,0,0,5,2,0,0,0,98,1,2,2,1,2,4,52,1,99999998,12,10,8,1,99999998,99999998,6,1,8,.899241014653524,.392943538594869,.848682740043232,.817590300888573
11961,20220213.27032.213,1975,99999998,99999998, ,1,3,1,8,8,8,8,8,8,8,8,8,8,8,9,2,99999998,4,99999998,3,99999998, , ,99999998, ,99, , , , , , , ,1,4,99999998,99999998,8,99, , , , , , , ,99999998, , , ,99999998, , , ,1,4,99999998,99999998,7,99, , , , , , , ,99999998, , , , , ,99999998, , , ,1,4,99999998,99999998,7,99, , , , , , , , ,99999998, , , , ,99999998, , , , ,8,7,3,5,7,5,6,8,7,6,4,7,5,8,5,8,6,0,7,6,8,5,4,4,5,4,4,4,1,1,8,2,2,2,8,2,1,1,2,2,2,2,8,3,1,1,2,2,3,2,3,2,1,1,2,3,2,3,3,3,1,1,1,1,3,7,7,5,5,6,6,5,7,5,4,5,0,0,0,7,5,5,0,0,2,7,0,6,4,1,10,4,3,2,1,3,3,1,5,4,4,1,2,0,1,1,99999998,99999998,99999998,99999998,0,1,0,0,0,0,0,99999998,99999998,99999998,99999998,0,0,99999998,99999998,99999998,99999998,99999998,1,1,1,0,1,1,0,2,1,8,9,1,1,1,1,2,51,2,99999998,99999998,10,99999998,1,99999998,99999998,98,1,2,1.00545133266308,.439354520204777,.948921566164771,1.09633858639898
11963,20220213.19087.213,1951,99999998,99999998, ,1,1,1,8,8,8,8,8,8,8,8,8,8,8,10,2,99999998,4,99999998,10,99999998, , ,99999998, ,36, , ,Tierversuche idn unumgänglich,32, , ,"Wenn keine Tierversuche in der cH gemacht werden, verlieren wir Arbeitsplätze ins Ausland",2,99999998,4,99999998,1,99999998, , , ,99999998, , , ,51, , ,Die Werbung ist nicht massgebend für die Kinder,13, , ,Keine werbung in Kinos oder Fernsehen ist alles schon vorhanden,2,99999998,4,99999998,9,99999998, , , ,99999998, , , ,13, , , , ,unnötig,43, , ,Die Stempeabgabe sichert ein kleines Einkommen für den Staat,2,99999998,4,99999998,8,99999998, , , , ,99999998, , , ,22, , , ,"Die Medienmogule (Ringier, Tamedia) haben genug Mittel zur Verfügung",99, , , , ,5,7,2,0,9,1,1,5,2,0,0,0,0,8,5,6,4,0,0,0,2,5,4,6,2,4,1,1,1,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,3,1,4,2,1,1,4,3,4,1,1,1,1,1,1,1,1,5,7,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,0,0,5,0,1,1,1,10,5,5,1,1,2,4,4,5,5,5,1,1,0,0,0,99999998,99999998,99999998,99999998,3,5,98,0,0,0,0,99999998,99999998,99999998,99999998,1,1,99999998,99999998,99999998,99999998,99999998,5,0,4,0,4,4,2,5,2,2,10,1,1,2, ,99999998,32,7,3,33,10,2,1,99999998,99999998,6,2,2,.256485745485394,.170277407378142,.255874287340936,.234099723418974
